"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Possession","Home_Success_Pass","Home_Pass","Home_Passing_Accuracy","Home_Fouls","Home_Corners","Home_Crosses","Home_Touches","Home_Tackles","Home_Interceptions","Home_Aerials_Won","Home_Clearances","Home_Offsides","Home_Goal_Kicks","Home_Throw_Ins","Home_Long_Balls","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Possession","Away_Success_Pass","Away_Pass","Away_Passing_Accuracy","Away_Fouls","Away_Corners","Away_Crosses","Away_Touches","Away_Tackles","Away_Interceptions","Away_Aerials_Won","Away_Clearances","Away_Offsides","Away_Goal_Kicks","Away_Throw_Ins","Away_Long_Balls","Away_Yellow_Cards","Away_Red_Cards","Game_URL"
"Serie A","2020-10-24","Serie A (Matchweek 5)","Genoa","3-5-2",40,355,470,76,11,1,6,586,15,20,14,25,2,9,17,78,"1","0","Internazionale","3-4-1-2",60,592,705,84,17,9,27,814,16,12,16,7,2,1,23,66,"1","0","https://fbref.com/en/matches/66c85475/Genoa-Internazionale-October-24-2020-Serie-A"
"Serie A","2021-01-03","Serie A (Matchweek 15)","Roma","3-4-3",65,544,650,84,18,8,30,769,12,16,22,16,2,1,15,79,"3","0","Sampdoria","4-4-1-1",35,240,357,67,14,2,10,468,16,14,12,22,7,9,16,62,"5","0","https://fbref.com/en/matches/49700a7d/Roma-Sampdoria-January-3-2021-Serie-A"
"Serie A","2021-02-06","Serie A (Matchweek 21)","Genoa","3-5-2",34,272,375,73,13,1,7,502,16,13,14,28,2,11,20,74,"2","0","Napoli","4-3-3",66,615,719,86,11,6,27,852,15,13,12,11,0,1,26,82,"3","0","https://fbref.com/en/matches/9d98d56a/Genoa-Napoli-February-6-2021-Serie-A"
"Serie A","2021-05-09","Serie A (Matchweek 35)","Juventus","4-4-2",56,527,619,85,17,8,28,714,14,12,7,7,1,3,12,50,"2","0","Milan","4-2-3-1",44,405,484,84,12,2,9,608,14,11,11,24,3,8,14,49,"2","0","https://fbref.com/en/matches/923a5d9c/Juventus-Milan-May-9-2021-Serie-A"
"Serie A","2020-10-02","Serie A (Matchweek 3)","Fiorentina","3-5-2",64,490,602,81,11,8,35,701,10,7,15,8,0,6,21,85,"0","0","Sampdoria","4-4-2",36,232,334,69,16,4,12,460,23,8,16,35,1,15,17,68,"3","0","https://fbref.com/en/matches/853ed5b4/Fiorentina-Sampdoria-October-2-2020-Serie-A"
"Serie A","2021-02-20","Serie A (Matchweek 23)","Lazio","3-5-2",56,458,556,82,14,4,9,693,12,16,16,35,4,8,19,59,"4","0","Sampdoria","3-4-1-2",44,318,436,73,17,5,32,549,20,16,12,11,0,5,26,61,"3","0","https://fbref.com/en/matches/931a8279/Lazio-Sampdoria-February-20-2021-Serie-A"
"Serie A","2021-01-31","Serie A (Matchweek 20)","Spezia","4-3-3",63,510,604,84,18,2,27,684,13,10,9,6,1,5,21,82,"7","1","Udinese","3-5-1-1",37,265,348,76,19,2,5,448,8,12,15,28,4,5,16,50,"5","1","https://fbref.com/en/matches/396901a3/Spezia-Udinese-January-31-2021-Serie-A"
"Serie A","2021-03-21","Serie A (Matchweek 28)","Fiorentina","4-4-2",40,275,367,75,6,8,22,472,10,10,15,21,1,10,17,63,"1","0","Milan","4-2-3-1",60,455,548,83,11,8,22,661,25,5,15,30,1,7,17,75,"3","0","https://fbref.com/en/matches/07624790/Fiorentina-Milan-March-21-2021-Serie-A"
"Serie A","2020-10-04","Serie A (Matchweek 3)","Lazio","3-5-2",40,356,437,81,14,7,15,558,16,15,13,30,0,9,13,54,"3","1","Internazionale","3-4-1-2",60,545,645,84,13,8,30,727,15,10,8,10,0,8,15,64,"4","1","https://fbref.com/en/matches/f89e07c4/Lazio-Internazionale-October-4-2020-Serie-A"
"Serie A","2021-01-10","Serie A (Matchweek 17)","Fiorentina","3-4-3",52,382,494,77,15,9,34,618,24,12,13,17,4,9,21,68,"1","0","Cagliari","4-1-2-1-2",48,359,460,78,14,5,18,592,15,11,18,31,1,11,19,48,"3","0","https://fbref.com/en/matches/c0ff856b/Fiorentina-Cagliari-January-10-2021-Serie-A"
