"Competition_Name","Gender","Country","Season_End_Year","Round","Wk","Day","Date","Time","Home","HomeGoals","Home_xG","Away","AwayGoals","Away_xG","Attendance","Venue","Referee","Notes","MatchURL"
"Ligue 1","M","FRA",2018,"Regular season","11","Sat",2017-10-28,"20:00","Dijon",1,0.4,"Nantes",0,1.1,11764,"Stade Gaston Gérard","Hakim Ben El Hadj Salem","","https://fbref.com/en/matches/095049d2/Dijon-Nantes-October-28-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","11","Sat",2017-10-28,"20:00","Montpellier",0,0.9,"Rennes",1,0.6,11790,"Stade de la Mosson","Benoît Bastien","","https://fbref.com/en/matches/4c8ae325/Montpellier-Rennes-October-28-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","11","Sat",2017-10-28,"20:00","Guingamp",1,0.9,"Amiens",1,0.3,13809,"Stade du Roudourou","Karim Abed","","https://fbref.com/en/matches/9013f9c0/Guingamp-Amiens-October-28-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","11","Sat",2017-10-28,"20:00","Caen",1,0.6,"Troyes",0,1.1,16908,"Stade Michel d'Ornano","Jérôme Miguelgorry","","https://fbref.com/en/matches/ae07bdf5/Caen-Troyes-October-28-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","11","Sat",2017-10-28,"20:00","Strasbourg",2,2,"Angers",2,0.7,25011,"Stade de la Meinau","Amaury Delerue","","https://fbref.com/en/matches/c0916a66/Strasbourg-Angers-October-28-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","11","Sun",2017-10-29,"15:00","Lyon",2,1.1,"Metz",0,0.6,53921,"Groupama Stadium","Benoît Millot","","https://fbref.com/en/matches/82fe7e4e/Lyon-Metz-October-29-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","11","Sun",2017-10-29,"17:00","Toulouse",0,0.7,"Saint-Étienne",0,1,15062,"Stadium Municipal","Jérôme Brisard","","https://fbref.com/en/matches/b77f0339/Toulouse-Saint-Etienne-October-29-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","11","Sun",2017-10-29,"21:00","Lille",0,1,"Marseille",1,0.8,43948,"Stade Pierre-Mauroy","François Letexier","","https://fbref.com/en/matches/365cd23f/Lille-Marseille-October-29-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","12","Fri",2017-11-03,"20:45","Rennes",1,0.6,"Bordeaux",0,0.4,24547,"Roazhon Park","Ruddy Buquet","","https://fbref.com/en/matches/c56e4a4c/Rennes-Bordeaux-November-3-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","12","Sat",2017-11-04,"17:00","Angers",0,0.5,"Paris S-G",5,2.5,12381,"Stade Raymond Kopa","Benoît Bastien","","https://fbref.com/en/matches/4554f4ad/Angers-Paris-Saint-Germain-November-4-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","12","Sat",2017-11-04,"20:00","Montpellier",1,1,"Amiens",1,0.5,10149,"Stade de la Mosson","Stéphane Jochem","","https://fbref.com/en/matches/0fd4c53e/Montpellier-Amiens-November-4-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","12","Sat",2017-11-04,"20:00","Nantes",2,0.7,"Toulouse",1,0.8,21390,"Stade de la Beaujoire - Louis Fonteneau","Antony Gautier","","https://fbref.com/en/matches/49a3ec23/Nantes-Toulouse-November-4-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","12","Sat",2017-11-04,"20:00","Monaco",6,2.7,"Guingamp",0,0.5,7066,"Stade Louis II.","Mikael Lesage","","https://fbref.com/en/matches/62e9834a/Monaco-Guingamp-November-4-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","12","Sat",2017-11-04,"20:00","Troyes",3,2.5,"Strasbourg",0,0.7,10260,"Stade de l'Aube","Thomas Léonard","","https://fbref.com/en/matches/a896e3bb/Troyes-Strasbourg-November-4-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","12","Sun",2017-11-05,"15:00","Nice",1,1.3,"Dijon",0,0.6,18987,"Stade de Nice","Olivier Thual","","https://fbref.com/en/matches/016a3c8f/Nice-Dijon-November-5-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","12","Sun",2017-11-05,"17:00","Metz",0,2.2,"Lille",3,1.5,12506,"Stade Saint-Symphorien","Jérôme Brisard","","https://fbref.com/en/matches/0ce48f56/Metz-Lille-November-5-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","12","Sun",2017-11-05,"17:00","Marseille",5,3.9,"Caen",0,1,47687,"Orange Vélodrome","Nicolas Rainville","","https://fbref.com/en/matches/9a865b2e/Marseille-Caen-November-5-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","12","Sun",2017-11-05,"21:00","Saint-Étienne",0,1.2,"Lyon",5,2.4,38993,"Stade Geoffroy-Guichard","Clément Turpin","","https://fbref.com/en/matches/fd65d399/Saint-Etienne-Lyon-November-5-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","13","Fri",2017-11-17,"19:00","Lille",3,0.7,"Saint-Étienne",1,1.4,28019,"Stade Pierre-Mauroy","Johan Hamel","","https://fbref.com/en/matches/77835765/Lille-Saint-Etienne-November-17-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","13","Fri",2017-11-17,"20:45","Amiens",1,1.1,"Monaco",1,1,9198,"Stade de la Licorne","Jérôme Miguelgorry","","https://fbref.com/en/matches/78612794/Amiens-Monaco-November-17-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","13","Sat",2017-11-18,"17:00","Paris S-G",4,1.9,"Nantes",1,1,47680,"Parc des Princes","Nicolas Rainville","","https://fbref.com/en/matches/4155088a/Paris-Saint-Germain-Nantes-November-18-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","13","Sat",2017-11-18,"20:00","Strasbourg",2,1.3,"Rennes",1,0.9,22707,"Stade de la Meinau","Tony Chapron","","https://fbref.com/en/matches/9e795c28/Strasbourg-Rennes-November-18-2017-Ligue-1"
"Ligue 1","M","FRA",2018,"Regular season","13","Sat",2017-11-18,"20:00","Dijon",3,1.4,"Troyes",1,1.1,10227,"Stade Gaston Gérard","Franck Schneider","","https://fbref.com/en/matches/9e9fd0c1/Dijon-Troyes-November-18-2017-Ligue-1"
