"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player_Href","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Ligue 1","2018-03-10","Ligue 1 (Matchweek 29)","Nantes","4-2-3-1",1,1.4,"Emiliano Sala · 86&rsquor;","0","0","Troyes","4-4-1-1",0,0.4,"","1","0","https://fbref.com/en/matches/b0fe022e/Nantes-Troyes-March-10-2018-Ligue-1","Troyes","Away",NA,990,0,0,0,0,8,0,1,0,596,20,7,12,0.4,0.4,0.4,15,0,358,488,73.4,32,335,16,14,7
"Ligue 1","2017-11-18","Ligue 1 (Matchweek 13)","Strasbourg","4-1-2-1-2",2,1.3,"Jérémy Blayac · 28&rsquor; Stéphane Bahoken · 82&rsquor;","1","0","Rennes","4-2-3-1",1,0.9,"Morgan Amalfitano · 63&rsquor; Adrien Hunou · 88&rsquor;","0","1","https://fbref.com/en/matches/9e795c28/Strasbourg-Rennes-November-18-2017-Ligue-1","Strasbourg","Home",NA,990,2,2,0,0,11,5,1,0,568,20,10,9,1.3,1.3,1.2,17,3,341,453,75.3,31,253,20,25,15
"Ligue 1","2017-11-18","Ligue 1 (Matchweek 13)","Strasbourg","4-1-2-1-2",2,1.3,"Jérémy Blayac · 28&rsquor; Stéphane Bahoken · 82&rsquor;","1","0","Rennes","4-2-3-1",1,0.9,"Morgan Amalfitano · 63&rsquor; Adrien Hunou · 88&rsquor;","0","1","https://fbref.com/en/matches/9e795c28/Strasbourg-Rennes-November-18-2017-Ligue-1","Rennes","Away",NA,962,1,1,0,0,13,4,0,1,563,16,12,8,0.9,0.9,0.8,24,2,330,444,74.3,47,261,17,17,11
"Ligue 1","2017-12-08","Ligue 1 (Matchweek 17)","Bordeaux","4-2-3-1",0,0.8,"","3","0","Strasbourg","4-2-3-1",3,1.9,"Stéphane Bahoken · 2&rsquor; Dimitri Liénard · 38&rsquor; Martin Terrier · 64&rsquor;","1","0","https://fbref.com/en/matches/b49a984a/Bordeaux-Strasbourg-December-8-2017-Ligue-1","Bordeaux","Home",NA,985,0,0,0,0,11,2,3,0,638,21,9,8,0.8,0.8,0.7,19,0,424,535,79.3,73,406,26,22,12
"Ligue 1","2017-12-08","Ligue 1 (Matchweek 17)","Bordeaux","4-2-3-1",0,0.8,"","3","0","Strasbourg","4-2-3-1",3,1.9,"Stéphane Bahoken · 2&rsquor; Dimitri Liénard · 38&rsquor; Martin Terrier · 64&rsquor;","1","0","https://fbref.com/en/matches/b49a984a/Bordeaux-Strasbourg-December-8-2017-Ligue-1","Strasbourg","Away",NA,990,3,1,0,0,10,4,1,0,451,23,20,10,2,2,1.4,17,6,222,325,68.3,16,222,15,30,19
"Ligue 1","2018-04-28","Ligue 1 (Matchweek 35)","Lyon","4-1-2-1-2",2,2.7,"Memphis · 39&rsquor; Bertrand Traoré · 68&rsquor;","1","0","Nantes","4-2-3-1",0,0.5,"","1","0","https://fbref.com/en/matches/2a72f30f/Lyon-Nantes-April-28-2018-Ligue-1","Lyon","Home",NA,990,2,2,0,0,25,10,1,0,777,16,14,9,2.8,2.8,2,45,4,551,644,85.6,49,526,34,15,7
"Ligue 1","2018-04-28","Ligue 1 (Matchweek 35)","Lyon","4-1-2-1-2",2,2.7,"Memphis · 39&rsquor; Bertrand Traoré · 68&rsquor;","1","0","Nantes","4-2-3-1",0,0.5,"","1","0","https://fbref.com/en/matches/2a72f30f/Lyon-Nantes-April-28-2018-Ligue-1","Nantes","Away",NA,990,0,0,0,0,12,4,1,0,529,22,9,13,0.5,0.5,0.4,20,0,310,421,73.6,43,280,18,13,7
"Ligue 1","2017-09-23","Ligue 1 (Matchweek 7)","Bordeaux","4-3-3",3,2.7,"François Kamano · 31&rsquor; Alexandre Mendy · 75&rsquor; Jonathan Cafu · 90+2&rsquor;","4","0","Guingamp","4-4-2",1,1.4,"Yannis Salibur · 46&rsquor;","2","0","https://fbref.com/en/matches/a4ab682b/Bordeaux-Guingamp-September-23-2017-Ligue-1","Bordeaux","Home",NA,990,3,2,0,1,20,6,4,0,619,14,8,3,2.8,1.9,1.7,37,5,432,532,81.2,53,370,27,17,10
"Ligue 1","2017-09-23","Ligue 1 (Matchweek 7)","Bordeaux","4-3-3",3,2.7,"François Kamano · 31&rsquor; Alexandre Mendy · 75&rsquor; Jonathan Cafu · 90+2&rsquor;","4","0","Guingamp","4-4-2",1,1.4,"Yannis Salibur · 46&rsquor;","2","0","https://fbref.com/en/matches/a4ab682b/Bordeaux-Guingamp-September-23-2017-Ligue-1","Guingamp","Away",NA,990,1,1,0,1,9,3,2,0,502,8,10,10,1.4,0.6,0.5,19,2,323,419,77.1,33,227,14,8,5
"Ligue 1","2017-12-09","Ligue 1 (Matchweek 17)","Toulouse","4-4-2",2,1.9,"Damien Da Silva (OG) · 61&rsquor; Max Gradel (P) · 74&rsquor;","1","0","Caen","4-4-2",0,1.1,"","2","0","https://fbref.com/en/matches/11ba51d6/Toulouse-Caen-December-9-2017-Ligue-1","Toulouse","Home",NA,990,1,0,1,1,9,2,1,0,535,19,15,10,1.9,1.1,0.9,20,2,270,416,64.9,36,302,13,21,13
