League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Game_URL,Team,Home_Away,Player,Player_Href,Player_Num,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG_Expected,npxG_Expected,xAG_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp_percent_Passes,PrgP_Passes,Carries_Carries,PrgC_Carries,Att_Take_Ons,Succ_Take_Ons
La Liga,8/16/2019,La Liga (Matchweek 1),Athletic Club,4-2-3-1,1,0.5,Aritz Aduriz · 89&rsquor;,1,0,Barcelona,4/3/2003,0,0.9,,1,0,https://fbref.com/en/matches/5dc61284/Athletic-Club-Barcelona-August-16-2019-La-Liga,Athletic Club,Home,Iñaki Williams,/en/players/6a99e0b1/Inaki-Williams,9,GHA,FW,25-062,87,0,0,0,0,3,2,0,0,21,0,0,1,0.1,0.1,0,2,0,8,13,61.5,1,16,2,1,1
La Liga,8/16/2019,La Liga (Matchweek 1),Athletic Club,4-2-3-1,1,0.5,Aritz Aduriz · 89&rsquor;,1,0,Barcelona,4/3/2003,0,0.9,,1,0,https://fbref.com/en/matches/5dc61284/Athletic-Club-Barcelona-August-16-2019-La-Liga,Athletic Club,Home,Aritz Aduriz,/en/players/293211e1/Aritz-Aduriz,20,ESP,FW,38-186,3,1,0,0,0,1,1,0,0,2,0,0,0,0.1,0.1,0,0,0,0,1,0,0,1,0,0,0
La Liga,8/16/2019,La Liga (Matchweek 1),Athletic Club,4-2-3-1,1,0.5,Aritz Aduriz · 89&rsquor;,1,0,Barcelona,4/3/2003,0,0.9,,1,0,https://fbref.com/en/matches/5dc61284/Athletic-Club-Barcelona-August-16-2019-La-Liga,Athletic Club,Home,Iker Muniain,/en/players/c05dfb74/Iker-Muniain,10,ESP,LW,26-240,90,0,0,0,0,0,0,0,0,23,1,0,1,0,0,0,1,0,13,17,76.5,1,8,1,2,1
La Liga,8/16/2019,La Liga (Matchweek 1),Athletic Club,4-2-3-1,1,0.5,Aritz Aduriz · 89&rsquor;,1,0,Barcelona,4/3/2003,0,0.9,,1,0,https://fbref.com/en/matches/5dc61284/Athletic-Club-Barcelona-August-16-2019-La-Liga,Athletic Club,Home,Óscar de Marcos,/en/players/9f323c71/Oscar-de-Marcos,18,ESP,RW,30-124,65,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,6,15,40,1,9,0,0,0
La Liga,8/16/2019,La Liga (Matchweek 1),Athletic Club,4-2-3-1,1,0.5,Aritz Aduriz · 89&rsquor;,1,0,Barcelona,4/3/2003,0,0.9,,1,0,https://fbref.com/en/matches/5dc61284/Athletic-Club-Barcelona-August-16-2019-La-Liga,Athletic Club,Home,Oihan Sancet,/en/players/bdb624a3/Oihan-Sancet,34,ESP,"AM,RW",19-113,25,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,3,66.7,0,3,0,0,0
La Liga,8/16/2019,La Liga (Matchweek 1),Athletic Club,4-2-3-1,1,0.5,Aritz Aduriz · 89&rsquor;,1,0,Barcelona,4/3/2003,0,0.9,,1,0,https://fbref.com/en/matches/5dc61284/Athletic-Club-Barcelona-August-16-2019-La-Liga,Athletic Club,Home,Raúl García,/en/players/b418dbd4/Raul-Garcia,22,ESP,"AM,RW",33-036,90,0,0,0,0,2,1,0,0,47,1,2,1,0.1,0.1,0,2,1,17,32,53.1,5,15,1,0,0
La Liga,8/16/2019,La Liga (Matchweek 1),Athletic Club,4-2-3-1,1,0.5,Aritz Aduriz · 89&rsquor;,1,0,Barcelona,4/3/2003,0,0.9,,1,0,https://fbref.com/en/matches/5dc61284/Athletic-Club-Barcelona-August-16-2019-La-Liga,Athletic Club,Home,Dani García,/en/players/240d3a0b/Dani-Garcia,14,ESP,DM,29-084,90,0,0,0,0,0,0,0,0,37,5,2,0,0,0,0,1,0,20,22,90.9,1,13,0,1,1
La Liga,8/16/2019,La Liga (Matchweek 1),Athletic Club,4-2-3-1,1,0.5,Aritz Aduriz · 89&rsquor;,1,0,Barcelona,4/3/2003,0,0.9,,1,0,https://fbref.com/en/matches/5dc61284/Athletic-Club-Barcelona-August-16-2019-La-Liga,Athletic Club,Home,Unai López,/en/players/88050721/Unai-Lopez,8,ESP,DM,23-290,80,0,0,0,0,3,1,0,0,49,0,1,2,0.1,0.1,0,1,0,28,39,71.8,2,25,2,1,1
La Liga,8/16/2019,La Liga (Matchweek 1),Athletic Club,4-2-3-1,1,0.5,Aritz Aduriz · 89&rsquor;,1,0,Barcelona,4/3/2003,0,0.9,,1,0,https://fbref.com/en/matches/5dc61284/Athletic-Club-Barcelona-August-16-2019-La-Liga,Athletic Club,Home,Beñat Etxebarria,/en/players/b037bd4f/Benat-Etxebarria,7,ESP,DM,32-178,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.1,1,0,2,3,66.7,0,1,0,0,0
La Liga,8/16/2019,La Liga (Matchweek 1),Athletic Club,4-2-3-1,1,0.5,Aritz Aduriz · 89&rsquor;,1,0,Barcelona,4/3/2003,0,0.9,,1,0,https://fbref.com/en/matches/5dc61284/Athletic-Club-Barcelona-August-16-2019-La-Liga,Athletic Club,Home,Yuri Berchiche,/en/players/b6e50615/Yuri-Berchiche,17,ESP,LB,29-187,90,0,0,0,0,1,0,0,0,40,0,4,0,0,0,0.1,4,0,25,33,75.8,4,20,3,0,0
