"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player_Href","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Premier League","2023-08-12","Premier League (Matchweek 1)","Everton","4-4-1-1",0,2.7,"","0","0","Fulham","4-3-3",1,1.5,"Bobby Reid · 73&rsquor;","2","0","https://fbref.com/en/matches/15addfc7/Everton-Fulham-August-12-2023-Premier-League","Everton","Home",NA,990,0,0,0,0,19,9,0,0,531,13,13,13,2.7,2.7,2.4,36,0,316,426,74.2,29,292,15,14,7
"Premier League","2023-08-12","Premier League (Matchweek 1)","Everton","4-4-1-1",0,2.7,"","0","0","Fulham","4-3-3",1,1.5,"Bobby Reid · 73&rsquor;","2","0","https://fbref.com/en/matches/15addfc7/Everton-Fulham-August-12-2023-Premier-League","Fulham","Away",NA,990,1,0,0,0,9,2,2,0,691,10,4,10,1.5,1.5,0.7,16,2,498,600,83,38,507,14,11,6
