Match_Goal_Key,Match,Team,Player_Name,Minute,Type_Of_Goal
151594,11061,116,Cristiano Ronaldo,90,Penalty
151595,11001,116,Cristiano Ronaldo,23,Penalty
151597,11001,116,Paulo Dybala,36,Normal
151611,11107,119,Stefano Okaka,2,Normal
151623,10992,126,João Pedro,28,Normal
151624,10992,128,Nikola Kalinić,29,Normal
151627,10992,128,Nikola Kalinić,41,Normal
151629,10992,128,Justin Kluivert,64,Normal
151633,10992,126,Gastón Pereiro,75,Normal
151637,10992,128,Henrikh Mkhitaryan,81,Normal
151640,10992,126,João Pedro,89,Normal
151641,10992,126,Unknown,89,Penalty
151646,10887,120,Borja Valero,8,Normal
151660,10887,129,Dušan Vlahović,90+2,Normal
151663,10923,125,Domenico Berardi,29,Normal
151664,10923,125,Domenico Berardi,36,Normal
151665,10923,125,Domenico Berardi,43,Normal
151668,10923,125,Hamed Junior Traorè,47,Normal
151672,10923,122,Fabio Quagliarella,67,Penalty
151677,11098,126,Giovanni Simeone,45,Normal
151679,11098,124,Sergej Milinković-Savić,47,Normal
151683,11098,124,Ciro Immobile,60,Normal
151693,11033,139,Alfredo Donnarumma,10,Normal
151695,11033,139,Alfredo Donnarumma,19,Normal
151697,11033,121,Mattia Bani,36,Normal
151698,11033,139,Andrea Cistana,42,Normal
151703,11033,121,Rodrigo Palacio,56,Normal
151704,11033,121,Stefano Sabelli,60,OG
151709,11033,121,Riccardo Orsolini,80,Normal
151714,10886,133,Andrea Petagna,44,Penalty
151716,10886,128,Nenad Tomović,53,OG
151718,10886,128,Diego Perotti,66,Penalty
151722,10886,128,Henrikh Mkhitaryan,83,Normal
151728,11163,121,Ladislav Krejčí,21,Normal
151729,11163,124,Ciro Immobile,23,Normal
151731,11163,121,Rodrigo Palacio,31,Normal
151732,11163,124,Ciro Immobile,39,Normal
151746,11163,124,Unknown,88,Penalty
151748,10867,128,Justin Kluivert,17,Normal
151749,10867,117,Davide Faraoni,21,Normal
151753,10867,128,Diego Perotti,45,Penalty
151763,10867,128,Henrikh Mkhitaryan,90+2,Normal
151765,11045,122,Karol Linetty,11,Normal
151767,11045,122,Manolo Gabbiadini,45,Normal
151768,11045,122,Karol Linetty,45+3,Normal
151779,10809,116,Giorgio Chiellini,21,Normal
151792,10851,120,Lautaro Martínez,12,Normal
