Match,Home_Team,Home_Possession,Home_Fouls,Home_Corners,Home_Crosses,Home_Aerials_Won,Home_Clearances,Home_Offsides,Home_Goal_Kicks,Home_Throw_Ins,Home_Long_Balls,Home_Total_Players_Stats,Home_Minutes,Home_Gls,Home_Ast,Home_PK,Home_PK_Att,Home_Sh,Home_SoT,Home_CrdY,Home_CrdR,Home_Touches,Home_Tkl,Home_Int,Home_Blocks,Home_xG,Home_npxG,Home_xAG,Home_SCA,Home_GCA,Home_Cmp_Passes,Home_Att_Passes,Home_Cmp_percent_Passes,Home_PrgP_Passes,Home_Carries_Carries,Home_PrgC_Carries,Home_Att_Take_Ons,Home_Succ_Take_Ons,Away_Team,Away_Possession,Away_Fouls,Away_Corners,Away_Crosses,Away_Aerials_Won,Away_Clearances,Away_Offsides,Away_Goal_Kicks,Away_Throw_Ins,Away_Long_Balls,Away_Total_Players_Stats,Away_Minutes,Away_Gls,Away_Ast,Away_PK,Away_PK_Att,Away_Sh,Away_SoT,Away_CrdY,Away_CrdR,Away_Touches,Away_Tkl,Away_Int,Away_Blocks,Away_xG,Away_npxG,Away_xAG,Away_SCA,Away_GCA,Away_Cmp_Passes,Away_Att_Passes,Away_Cmp_percent_Passes,Away_PrgP_Passes,Away_Carries_Carries,Away_PrgC_Carries,Away_Att_Take_Ons,Away_Succ_Take_Ons,Home_Attack,Home_Midfield,Home_Defense,Away_Attack,Away_Midfield,Away_Defense,Home_Score,Away_Score
3127,43,45,12,0,4,30,18,2,10,40,91,Unknown,990,0,0,0,0,6,0,1,0,549,20,21,12,0.6,0.6,0.5,10,0,271,420,64.5,31,229,13,27,16,37,55,13,8,19,27,16,1,8,33,91,Unknown,990,2,2,0,0,15,6,2,0,642,22,11,9,1.1,1.1,1.1,27,3,350,508,68.9,48,276,16,24,14,76.33333333333333,75.33333333333333,75.0,74.0,76.41666666666667,76.28571428571429,0,2
2981,40,55,12,0,8,8,9,3,7,22,53,Unknown,990,2,0,1,1,7,3,2,0,677,18,17,11,1.2,0.4,0.2,15,4,466,578,80.6,48,352,17,15,10,46,45,12,5,12,11,13,2,5,25,60,Unknown,990,1,1,0,0,10,6,1,0,577,17,17,6,0.9,0.9,0.8,18,2,369,471,78.3,38,373,15,17,6,74.8,73.16666666666667,73.0909090909091,77.75,78.3125,78.28571428571429,3,2
3252,36,55,9,5,10,14,13,1,6,20,69,Unknown,990,3,2,1,1,13,6,0,0,682,9,13,11,2.6,1.8,1.6,22,5,506,598,84.6,42,412,35,19,15,46,45,9,2,13,14,14,0,6,14,60,Unknown,990,0,0,0,0,6,2,2,0,565,10,14,12,0.3,0.3,0.3,12,0,392,485,80.8,30,334,18,10,7,76.8,75.28571428571429,74.8,71.4,75.07692307692308,78.66666666666667,3,0
3205,46,31,15,1,3,21,27,2,12,22,73,Unknown,990,0,0,0,0,8,3,2,0,390,20,11,11,1.0,1.0,0.5,12,0,192,286,67.1,8,165,7,13,7,38,69,12,6,19,27,3,1,6,27,78,Unknown,990,0,0,0,0,10,3,2,0,729,16,10,9,0.7,0.7,0.5,18,0,534,643,83.0,49,437,24,12,7,71.4,75.53846153846153,76.71428571428571,81.875,82.08333333333333,81.0,0,0
2982,42,37,7,5,19,19,17,1,3,13,88,Unknown,990,2,2,0,0,13,5,3,0,539,16,13,12,2.1,2.1,2.0,24,4,304,427,71.2,30,321,9,15,11,49,63,8,6,16,16,22,0,11,22,63,Unknown,990,4,3,0,0,16,7,2,0,849,13,11,7,0.9,0.9,0.6,29,6,616,734,83.9,41,543,28,12,8,76.66666666666667,75.0,75.14285714285714,79.18181818181819,78.57142857142857,76.75,2,4
3008,43,40,8,9,25,21,30,3,7,21,71,Unknown,990,1,1,0,0,16,6,0,0,513,14,8,7,1.0,1.0,0.9,25,2,279,384,72.7,25,230,14,17,9,38,60,7,8,25,24,30,0,9,27,76,Unknown,990,2,1,0,0,12,4,1,0,677,24,6,4,1.6,1.6,1.0,22,3,449,566,79.3,47,452,18,13,3,77.6,77.6,75.5,86.66666666666667,83.0,82.71428571428571,1,2
3244,46,39,13,3,12,20,27,3,8,15,61,Unknown,990,1,1,0,0,11,4,3,0,490,12,12,17,1.1,1.1,0.8,17,2,260,362,71.8,18,228,14,16,10,37,61,14,5,23,20,11,2,7,14,83,Unknown,990,1,1,0,1,15,4,3,0,657,13,13,9,2.5,1.7,1.4,28,2,443,561,79.0,47,446,17,14,11,71.4,75.73333333333333,78.66666666666667,70.66666666666667,71.8,70.875,1,1
3123,47,50,11,7,27,36,20,3,6,25,83,Unknown,990,1,1,0,0,12,5,1,0,612,16,9,9,1.3,1.3,1.2,22,2,369,494,74.7,52,291,17,11,4,46,50,13,6,25,25,19,1,8,12,68,Unknown,990,1,1,0,0,11,3,0,0,621,20,15,5,1.8,1.8,1.6,18,2,384,502,76.5,35,400,17,10,6,78.5,78.07692307692308,75.7,70.0,75.0,74.4,1,1
3287,37,41,17,2,19,18,26,0,10,22,79,Unknown,972,1,1,0,0,10,2,3,1,564,25,19,19,0.9,0.9,0.8,16,1,300,420,71.4,28,252,18,16,6,30,59,7,3,22,26,17,1,10,38,58,Unknown,990,1,1,0,0,21,8,2,0,725,19,7,9,1.5,1.5,1.3,40,2,467,603,77.4,62,354,30,19,10,0.0,0.0,0.0,0.0,0.0,0.0,1,1
3338,52,49,9,7,31,8,16,1,9,15,59,Unknown,990,2,2,0,0,24,8,1,0,605,6,11,14,3.1,3.1,2.0,45,4,399,495,80.6,49,366,36,25,20,40,51,17,5,17,16,29,0,12,12,58,Unknown,934,1,1,0,0,20,5,4,1,626,11,10,12,1.2,1.2,1.1,36,2,423,512,82.6,53,318,29,10,8,74.33333333333333,74.35714285714286,72.85714285714286,74.8,73.18181818181819,72.85714285714286,2,1
