"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player_Href","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2018-03-02","Fußball-Bundesliga (Matchweek 25)","Mönchengladbach","4-2-3-1",2,2.2,"Denis Zakaria · 5&rsquor; Niklas Moisander (OG) · 33&rsquor;","2","0","Werder Bremen","3-1-4-2",2,1.7,"Thomas Delaney · 59&rsquor; Aron Jóhannsson · 78&rsquor;","3","0","https://fbref.com/en/matches/cd0a8be6/Monchengladbach-Werder-Bremen-March-2-2018-Bundesliga","Mönchengladbach","Home",NA,990,1,0,0,0,10,5,2,0,613,21,12,15,2.2,2.2,1,16,0,389,506,76.9,44,245,24,29,12
"Fußball-Bundesliga","2018-03-02","Fußball-Bundesliga (Matchweek 25)","Mönchengladbach","4-2-3-1",2,2.2,"Denis Zakaria · 5&rsquor; Niklas Moisander (OG) · 33&rsquor;","2","0","Werder Bremen","3-1-4-2",2,1.7,"Thomas Delaney · 59&rsquor; Aron Jóhannsson · 78&rsquor;","3","0","https://fbref.com/en/matches/cd0a8be6/Monchengladbach-Werder-Bremen-March-2-2018-Bundesliga","Werder Bremen","Away",NA,990,2,2,0,0,17,6,3,0,600,28,6,8,1.7,1.7,1.4,30,3,368,493,74.6,50,278,15,18,9
"Fußball-Bundesliga","2018-05-05","Fußball-Bundesliga (Matchweek 33)","Dortmund","4-3-3",1,0.7,"Maximilian Philipp · 16&rsquor;","3","0","Mainz 05","4-3-3",2,0.9,"Ridle Baku · 4&rsquor; Yoshinori Mutō · 13&rsquor;","3","0","https://fbref.com/en/matches/d494399a/Dortmund-Mainz-05-May-5-2018-Bundesliga","Dortmund","Home",NA,990,1,1,0,0,12,4,3,0,752,20,7,12,0.7,0.7,0.6,23,2,538,664,81,61,388,36,16,12
"Fußball-Bundesliga","2018-05-05","Fußball-Bundesliga (Matchweek 33)","Dortmund","4-3-3",1,0.7,"Maximilian Philipp · 16&rsquor;","3","0","Mainz 05","4-3-3",2,0.9,"Ridle Baku · 4&rsquor; Yoshinori Mutō · 13&rsquor;","3","0","https://fbref.com/en/matches/d494399a/Dortmund-Mainz-05-May-5-2018-Bundesliga","Mainz 05","Away",NA,990,2,2,0,0,6,5,3,0,476,18,16,21,0.9,0.9,0.9,11,4,236,345,68.4,22,195,11,22,14
"Fußball-Bundesliga","2017-11-25","Fußball-Bundesliga (Matchweek 13)","Mönchengladbach","4-4-2",2,2.1,"Thorgan Hazard (P) · 39&rsquor; Matthias Ginter · 44&rsquor;","1","0","Bayern Munich","4-1-4-1",1,1.6,"Arturo Vidal · 74&rsquor;","1","0","https://fbref.com/en/matches/bb91fda7/Monchengladbach-Bayern-Munich-November-25-2017-Bundesliga","Mönchengladbach","Home",NA,990,2,1,1,1,6,1,1,0,445,28,12,19,2.2,1.4,0.7,7,2,218,318,68.6,17,157,15,9,3
"Fußball-Bundesliga","2017-11-25","Fußball-Bundesliga (Matchweek 13)","Mönchengladbach","4-4-2",2,2.1,"Thorgan Hazard (P) · 39&rsquor; Matthias Ginter · 44&rsquor;","1","0","Bayern Munich","4-1-4-1",1,1.6,"Arturo Vidal · 74&rsquor;","1","0","https://fbref.com/en/matches/bb91fda7/Monchengladbach-Bayern-Munich-November-25-2017-Bundesliga","Bayern Munich","Away",NA,990,1,0,0,0,26,7,1,0,887,21,12,11,1.6,1.6,1.2,50,2,666,781,85.3,104,518,13,22,3
"Fußball-Bundesliga","2017-09-16","Fußball-Bundesliga (Matchweek 4)","Bayern Munich","4-2-3-1",4,3.8,"Thomas Müller · 11&rsquor; Arjen Robben · 23&rsquor; Robert Lewandowski · 50&rsquor; Robert Lewandowski · 77&rsquor;","2","0","Mainz 05","3-4-3",0,0.8,"","2","0","https://fbref.com/en/matches/a10cf572/Bayern-Munich-Mainz-05-September-16-2017-Bundesliga","Bayern Munich","Home",NA,990,4,4,0,0,28,13,2,0,890,19,17,7,4.1,4.1,3.2,50,8,696,786,88.5,69,536,30,22,9
"Fußball-Bundesliga","2017-09-16","Fußball-Bundesliga (Matchweek 4)","Bayern Munich","4-2-3-1",4,3.8,"Thomas Müller · 11&rsquor; Arjen Robben · 23&rsquor; Robert Lewandowski · 50&rsquor; Robert Lewandowski · 77&rsquor;","2","0","Mainz 05","3-4-3",0,0.8,"","2","0","https://fbref.com/en/matches/a10cf572/Bayern-Munich-Mainz-05-September-16-2017-Bundesliga","Mainz 05","Away",NA,990,0,0,0,0,11,4,2,0,387,22,16,19,0.8,0.8,0.6,15,0,185,271,68.3,16,182,10,20,11
"Fußball-Bundesliga","2017-08-19","Fußball-Bundesliga (Matchweek 1)","Hamburger SV","4-2-3-1",1,0.5,"Nicolai Müller · 8&rsquor;","4","0","Augsburg","4-2-3-1",0,0.8,"","3","0","https://fbref.com/en/matches/f65cd7dc/Hamburger-SV-Augsburg-August-19-2017-Bundesliga","Hamburger SV","Home",NA,990,1,1,0,0,11,5,4,0,444,17,11,18,0.5,0.5,0.5,18,2,201,315,63.8,27,199,10,13,1
"Fußball-Bundesliga","2017-08-19","Fußball-Bundesliga (Matchweek 1)","Hamburger SV","4-2-3-1",1,0.5,"Nicolai Müller · 8&rsquor;","4","0","Augsburg","4-2-3-1",0,0.8,"","3","0","https://fbref.com/en/matches/f65cd7dc/Hamburger-SV-Augsburg-August-19-2017-Bundesliga","Augsburg","Away",NA,990,0,0,0,0,14,1,3,0,653,23,8,9,0.8,0.8,0.7,28,0,415,550,75.5,40,331,16,17,9
