"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Possession","Home_Success_Pass","Home_Pass","Home_Passing_Accuracy","Home_Fouls","Home_Corners","Home_Crosses","Home_Touches","Home_Tackles","Home_Interceptions","Home_Aerials_Won","Home_Clearances","Home_Offsides","Home_Goal_Kicks","Home_Throw_Ins","Home_Long_Balls","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Possession","Away_Success_Pass","Away_Pass","Away_Passing_Accuracy","Away_Fouls","Away_Corners","Away_Crosses","Away_Touches","Away_Tackles","Away_Interceptions","Away_Aerials_Won","Away_Clearances","Away_Offsides","Away_Goal_Kicks","Away_Throw_Ins","Away_Long_Balls","Away_Yellow_Cards","Away_Red_Cards","Game_URL"
"Fußball-Bundesliga","2018-03-02","Fußball-Bundesliga (Matchweek 25)","Mönchengladbach","4-2-3-1",51,389,506,77,13,5,12,613,21,12,12,16,4,9,20,77,"2","0","Werder Bremen","3-1-4-2",49,368,493,75,20,6,22,600,28,6,13,21,2,8,17,72,"3","0","https://fbref.com/en/matches/cd0a8be6/Monchengladbach-Werder-Bremen-March-2-2018-Bundesliga"
"Fußball-Bundesliga","2018-05-05","Fußball-Bundesliga (Matchweek 33)","Dortmund","4-3-3",66,538,664,81,16,4,18,752,20,7,15,13,2,2,26,65,"3","0","Mainz 05","4-3-3",34,236,345,68,17,2,8,476,18,16,15,33,5,7,21,84,"3","0","https://fbref.com/en/matches/d494399a/Dortmund-Mainz-05-May-5-2018-Bundesliga"
"Fußball-Bundesliga","2017-11-25","Fußball-Bundesliga (Matchweek 13)","Mönchengladbach","4-4-2",29,218,318,69,13,2,6,445,28,12,17,47,1,11,21,73,"1","0","Bayern Munich","4-1-4-1",71,666,781,85,10,5,46,887,21,12,26,8,0,6,30,96,"1","0","https://fbref.com/en/matches/bb91fda7/Monchengladbach-Bayern-Munich-November-25-2017-Bundesliga"
"Fußball-Bundesliga","2017-09-16","Fußball-Bundesliga (Matchweek 4)","Bayern Munich","4-2-3-1",74,696,786,89,10,10,25,890,19,17,20,8,0,6,20,110,"2","0","Mainz 05","3-4-3",26,185,271,68,5,5,8,387,22,16,12,22,1,13,16,59,"2","0","https://fbref.com/en/matches/a10cf572/Bayern-Munich-Mainz-05-September-16-2017-Bundesliga"
"Fußball-Bundesliga","2017-08-19","Fußball-Bundesliga (Matchweek 1)","Hamburger SV","4-2-3-1",36,201,315,64,18,3,12,444,17,11,23,45,0,9,22,76,"4","0","Augsburg","4-2-3-1",64,415,550,75,16,7,36,653,23,8,27,21,1,3,35,85,"3","0","https://fbref.com/en/matches/f65cd7dc/Hamburger-SV-Augsburg-August-19-2017-Bundesliga"
"Fußball-Bundesliga","2018-02-03","Fußball-Bundesliga (Matchweek 21)","Mainz 05","4-2-3-1",36,276,385,72,10,3,21,511,20,14,16,23,2,9,16,69,"0","0","Bayern Munich","4-3-3",64,560,685,82,16,5,12,791,24,12,17,18,2,10,22,84,"3","0","https://fbref.com/en/matches/0e9f3237/Mainz-05-Bayern-Munich-February-3-2018-Bundesliga"
"Fußball-Bundesliga","2017-09-16","Fußball-Bundesliga (Matchweek 4)","Stuttgart","3-4-3",46,368,477,77,16,2,11,565,23,13,16,15,5,10,20,80,"2","0","Wolfsburg","3-4-1-2",54,472,570,83,19,3,12,651,14,14,15,12,2,4,10,65,"3","0","https://fbref.com/en/matches/198facdd/Stuttgart-Wolfsburg-September-16-2017-Bundesliga"
"Fußball-Bundesliga","2017-12-16","Fußball-Bundesliga (Matchweek 17)","Werder Bremen","4-1-4-1",38,196,320,61,13,8,19,440,20,15,23,28,2,5,23,70,"2","0","Mainz 05","4-2-3-1",62,390,518,75,24,5,26,621,20,13,21,22,4,1,37,98,"3","0","https://fbref.com/en/matches/f7c70334/Werder-Bremen-Mainz-05-December-16-2017-Bundesliga"
"Fußball-Bundesliga","2018-04-06","Fußball-Bundesliga (Matchweek 29)","Hannover 96","4-4-2",43,279,412,68,16,4,11,518,19,11,25,21,0,10,25,89,"1","0","Werder Bremen","4-2-3-1",57,401,538,75,21,2,16,625,9,15,26,15,1,7,26,91,"2","0","https://fbref.com/en/matches/ed4d89b1/Hannover-96-Werder-Bremen-April-6-2018-Bundesliga"
"Fußball-Bundesliga","2018-04-21","Fußball-Bundesliga (Matchweek 31)","Stuttgart","4-4-2",44,276,400,69,9,3,20,490,23,7,13,28,2,9,25,71,"1","0","Werder Bremen","4-1-4-1",56,402,516,78,18,5,21,600,9,5,16,13,3,4,27,90,"2","0","https://fbref.com/en/matches/5b66af66/Stuttgart-Werder-Bremen-April-21-2018-Bundesliga"
"Fußball-Bundesliga","2018-01-20","Fußball-Bundesliga (Matchweek 19)","Freiburg","3-4-3",41,267,397,67,12,6,14,512,26,8,22,29,1,12,28,105,"0","0","RB Leipzig","4-3-3",59,447,564,79,13,6,18,694,25,9,27,28,3,5,30,66,"0","0","https://fbref.com/en/matches/b8687e9c/Freiburg-RB-Leipzig-January-20-2018-Bundesliga"
