"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Possession","Home_Success_Pass","Home_Pass","Home_Passing_Accuracy","Home_Fouls","Home_Corners","Home_Crosses","Home_Touches","Home_Tackles","Home_Interceptions","Home_Aerials_Won","Home_Clearances","Home_Offsides","Home_Goal_Kicks","Home_Throw_Ins","Home_Long_Balls","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Possession","Away_Success_Pass","Away_Pass","Away_Passing_Accuracy","Away_Fouls","Away_Corners","Away_Crosses","Away_Touches","Away_Tackles","Away_Interceptions","Away_Aerials_Won","Away_Clearances","Away_Offsides","Away_Goal_Kicks","Away_Throw_Ins","Away_Long_Balls","Away_Yellow_Cards","Away_Red_Cards","Game_URL"
"Serie A","2018-11-11","Serie A (Matchweek 12)","Atalanta","3-4-3",49,408,498,82,11,9,21,608,9,10,18,25,1,5,21,64,"3","0","Internazionale","4-3-3",51,414,514,81,12,6,26,620,20,10,10,23,1,8,23,58,"6","1","https://fbref.com/en/matches/6c35c803/Atalanta-Internazionale-November-11-2018-Serie-A"
"Serie A","2019-04-28","Serie A (Matchweek 34)","Frosinone","3-5-2",34,246,344,72,25,2,17,432,17,7,9,18,3,9,8,77,"3","0","Napoli","4-4-2",66,583,668,87,16,6,16,769,11,7,14,15,2,14,11,80,"1","0","https://fbref.com/en/matches/a1070c1e/Frosinone-Napoli-April-28-2019-Serie-A"
"Serie A","2019-05-25","Serie A (Matchweek 38)","Bologna","4-2-3-1",33,210,302,70,12,5,11,428,12,13,18,26,2,17,17,77,"0","0","Napoli","4-4-2",67,499,600,83,8,8,23,707,17,10,16,12,2,10,13,69,"1","0","https://fbref.com/en/matches/32105364/Bologna-Napoli-May-25-2019-Serie-A"
"Serie A","2018-12-09","Serie A (Matchweek 15)","Genoa","3-1-4-2",28,159,262,61,10,1,11,375,15,13,19,35,3,20,14,74,"1","1","SPAL","3-5-2",72,583,682,85,10,6,37,786,14,8,21,14,0,3,26,45,"5","0","https://fbref.com/en/matches/4b694569/Genoa-SPAL-December-9-2018-Serie-A"
"Serie A","2018-09-23","Serie A (Matchweek 5)","Frosinone","5-3-2",28,195,270,72,16,3,15,391,15,6,12,50,1,15,18,65,"3","0","Juventus","4-3-3",72,590,683,86,9,5,33,772,15,5,14,11,1,4,22,77,"1","0","https://fbref.com/en/matches/37d02d43/Frosinone-Juventus-September-23-2018-Serie-A"
"Serie A","2019-03-31","Serie A (Matchweek 29)","Frosinone","3-5-2",55,378,505,75,19,8,36,629,28,13,26,9,0,6,24,76,"3","0","SPAL","3-1-4-2",45,294,412,71,15,3,12,550,16,9,23,39,0,20,26,78,"3","0","https://fbref.com/en/matches/8f079cec/Frosinone-SPAL-March-31-2019-Serie-A"
"Serie A","2019-03-02","Serie A (Matchweek 26)","Empoli","3-5-2",62,475,577,82,10,8,34,671,18,8,7,15,1,1,23,93,"1","0","Parma","4-3-3",38,272,360,76,16,2,12,468,18,8,13,32,3,9,20,68,"3","0","https://fbref.com/en/matches/94f40f4f/Empoli-Parma-March-2-2019-Serie-A"
"Serie A","2018-12-26","Serie A (Matchweek 18)","Roma","4-2-3-1",50,352,441,80,15,8,21,545,13,13,12,17,4,9,11,69,"1","0","Sassuolo","4-2-2-2",50,337,434,78,16,5,16,537,13,9,10,15,1,9,22,58,"1","0","https://fbref.com/en/matches/fb828051/Roma-Sassuolo-December-26-2018-Serie-A"
"Serie A","2018-10-27","Serie A (Matchweek 10)","Torino","3-5-2",55,308,429,72,15,4,27,540,23,13,28,18,1,8,27,81,"2","0","Fiorentina","4-3-3",45,238,350,68,22,5,10,490,24,19,16,37,1,14,24,79,"4","0","https://fbref.com/en/matches/e12deac7/Torino-Fiorentina-October-27-2018-Serie-A"
"Serie A","2018-12-07","Serie A (Matchweek 15)","Juventus","4-3-3",50,406,504,81,13,10,31,611,13,11,9,18,2,8,16,78,"2","0","Internazionale","4-3-3",50,413,502,82,17,8,25,603,16,10,9,28,1,11,12,62,"2","0","https://fbref.com/en/matches/7b515291/Derby-dItalia-Juventus-Internazionale-December-7-2018-Serie-A"
"Serie A","2018-10-20","Serie A (Matchweek 9)","Juventus","4-3-3",63,565,667,85,10,8,24,783,11,19,14,11,1,7,20,64,"1","0","Genoa","3-4-1-2",37,288,389,74,15,2,6,502,16,17,23,36,2,17,23,76,"3","0","https://fbref.com/en/matches/46e81730/Juventus-Genoa-October-20-2018-Serie-A"
"Serie A","2018-11-24","Serie A (Matchweek 13)","Internazionale","4-2-3-1",71,798,878,91,11,11,24,976,11,8,15,12,0,1,16,51,"1","0","Frosinone","3-5-2",29,262,351,75,11,0,9,449,11,7,16,24,1,17,12,65,"3","0","https://fbref.com/en/matches/7d29507c/Internazionale-Frosinone-November-24-2018-Serie-A"
"Serie A","2019-03-17","Serie A (Matchweek 28)","Empoli","3-5-2",48,373,469,80,16,2,10,565,13,9,20,27,1,12,18,72,"4","0","Frosinone","3-5-2",52,394,507,78,17,2,20,604,10,13,20,16,0,5,25,78,"2","0","https://fbref.com/en/matches/986a778f/Empoli-Frosinone-March-17-2019-Serie-A"
"Serie A","2019-03-03","Serie A (Matchweek 26)","Torino","3-5-2",59,416,526,79,11,7,36,632,16,6,27,11,0,7,21,81,"1","0","Chievo","4-3-1-2",41,256,364,70,18,4,13,488,28,3,35,42,2,9,15,77,"4","0","https://fbref.com/en/matches/3cf1aeeb/Torino-Chievo-March-3-2019-Serie-A"
"Serie A","2019-05-05","Serie A (Matchweek 35)","Empoli","3-1-4-2",48,375,475,79,13,4,11,592,9,8,15,24,1,17,23,55,"3","0","Fiorentina","3-5-2",52,428,520,82,16,7,29,640,22,11,17,6,1,4,22,52,"1","1","https://fbref.com/en/matches/ee093649/Empoli-Fiorentina-May-5-2019-Serie-A"
"Serie A","2019-04-20","Serie A (Matchweek 33)","Genoa","4-4-2",48,262,397,66,21,3,21,503,22,5,33,12,2,5,18,70,"4","0","Torino","3-4-3",52,317,432,73,24,2,12,565,15,8,25,21,1,9,14,79,"4","0","https://fbref.com/en/matches/ced608c5/Genoa-Torino-April-20-2019-Serie-A"
