League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Game_URL,Team,Home_Away,Player,Player_Href,Player_Num,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG_Expected,npxG_Expected,xAG_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp_percent_Passes,PrgP_Passes,Carries_Carries,PrgC_Carries,Att_Take_Ons,Succ_Take_Ons
Serie A,8/13/2022,Serie A (Matchweek 1),Sampdoria,4-1-4-1,0,1,,4,0,Atalanta,3-4-1-2,2,2.2,Rafael Tolói · 26&rsquor; Ademola Lookman · 90+5&rsquor;,6,0,https://fbref.com/en/matches/185d9e37/Sampdoria-Atalanta-August-13-2022-Serie-A,Sampdoria,Home,Francesco Caputo,/en/players/5bd72174/Francesco-Caputo,10,ITA,FW,35-007,57,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,10,14,71.4,0,11,1,1,0
Serie A,8/13/2022,Serie A (Matchweek 1),Sampdoria,4-1-4-1,0,1,,4,0,Atalanta,3-4-1-2,2,2.2,Rafael Tolói · 26&rsquor; Ademola Lookman · 90+5&rsquor;,6,0,https://fbref.com/en/matches/185d9e37/Sampdoria-Atalanta-August-13-2022-Serie-A,Sampdoria,Home,Manuel De Luca,/en/players/60e3603d/Manuel-De-Luca,9,ITA,FW,24-027,33,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,5,7,71.4,0,10,0,0,0
Serie A,8/13/2022,Serie A (Matchweek 1),Sampdoria,4-1-4-1,0,1,,4,0,Atalanta,3-4-1-2,2,2.2,Rafael Tolói · 26&rsquor; Ademola Lookman · 90+5&rsquor;,6,0,https://fbref.com/en/matches/185d9e37/Sampdoria-Atalanta-August-13-2022-Serie-A,Sampdoria,Home,Filip Đuričić,/en/players/eccbe56a/Filip-Djuricic,7,SRB,LM,30-195,57,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,10,15,66.7,1,18,0,3,3
Serie A,8/13/2022,Serie A (Matchweek 1),Sampdoria,4-1-4-1,0,1,,4,0,Atalanta,3-4-1-2,2,2.2,Rafael Tolói · 26&rsquor; Ademola Lookman · 90+5&rsquor;,6,0,https://fbref.com/en/matches/185d9e37/Sampdoria-Atalanta-August-13-2022-Serie-A,Sampdoria,Home,Valerio Verre,/en/players/33ecf462/Valerio-Verre,5,ITA,LM,28-214,33,0,0,0,0,0,0,1,0,16,2,0,0,0,0,0,0,0,10,12,83.3,0,8,0,1,0
Serie A,8/13/2022,Serie A (Matchweek 1),Sampdoria,4-1-4-1,0,1,,4,0,Atalanta,3-4-1-2,2,2.2,Rafael Tolói · 26&rsquor; Ademola Lookman · 90+5&rsquor;,6,0,https://fbref.com/en/matches/185d9e37/Sampdoria-Atalanta-August-13-2022-Serie-A,Sampdoria,Home,Tomás Rincón,/en/players/f1cfc209/Tomas-Rincon,8,VEN,CM,34-212,90,0,0,0,0,0,0,0,0,70,1,3,0,0,0,0,2,0,55,65,84.6,10,60,2,0,0
Serie A,8/13/2022,Serie A (Matchweek 1),Sampdoria,4-1-4-1,0,1,,4,0,Atalanta,3-4-1-2,2,2.2,Rafael Tolói · 26&rsquor; Ademola Lookman · 90+5&rsquor;,6,0,https://fbref.com/en/matches/185d9e37/Sampdoria-Atalanta-August-13-2022-Serie-A,Sampdoria,Home,Abdelhamid Sabiri,/en/players/4830e0af/Abdelhamid-Sabiri,11,MAR,CM,25-258,90,0,0,0,0,7,1,1,0,65,1,1,4,0.4,0.4,0.2,5,0,30,47,63.8,8,41,2,4,1
Serie A,8/13/2022,Serie A (Matchweek 1),Sampdoria,4-1-4-1,0,1,,4,0,Atalanta,3-4-1-2,2,2.2,Rafael Tolói · 26&rsquor; Ademola Lookman · 90+5&rsquor;,6,0,https://fbref.com/en/matches/185d9e37/Sampdoria-Atalanta-August-13-2022-Serie-A,Sampdoria,Home,Mehdi Léris,/en/players/7d3cbc67/Mehdi-Leris,37,ALG,RM,24-082,74,0,0,0,0,1,0,0,0,42,3,0,1,0.2,0.2,0,5,0,24,35,68.6,2,37,2,3,2
Serie A,8/13/2022,Serie A (Matchweek 1),Sampdoria,4-1-4-1,0,1,,4,0,Atalanta,3-4-1-2,2,2.2,Rafael Tolói · 26&rsquor; Ademola Lookman · 90+5&rsquor;,6,0,https://fbref.com/en/matches/185d9e37/Sampdoria-Atalanta-August-13-2022-Serie-A,Sampdoria,Home,Fabio Quagliarella,/en/players/ee4f2f3b/Fabio-Quagliarella,27,ITA,RM,39-194,16,0,0,0,0,2,0,1,0,8,0,0,0,0.3,0.3,0,0,0,4,5,80,0,8,1,0,0
Serie A,8/13/2022,Serie A (Matchweek 1),Sampdoria,4-1-4-1,0,1,,4,0,Atalanta,3-4-1-2,2,2.2,Rafael Tolói · 26&rsquor; Ademola Lookman · 90+5&rsquor;,6,0,https://fbref.com/en/matches/185d9e37/Sampdoria-Atalanta-August-13-2022-Serie-A,Sampdoria,Home,Ronaldo Vieira,/en/players/75e60d75/Ronaldo-Vieira,14,ENG,DM,24-025,90,0,0,0,0,0,0,0,0,62,3,4,1,0,0,0,2,0,49,53,92.5,4,46,1,1,0
Serie A,8/13/2022,Serie A (Matchweek 1),Sampdoria,4-1-4-1,0,1,,4,0,Atalanta,3-4-1-2,2,2.2,Rafael Tolói · 26&rsquor; Ademola Lookman · 90+5&rsquor;,6,0,https://fbref.com/en/matches/185d9e37/Sampdoria-Atalanta-August-13-2022-Serie-A,Sampdoria,Home,Tommaso Augello,/en/players/3cd3b384/Tommaso-Augello,3,ITA,LB,27-348,90,0,0,0,0,0,0,0,0,61,0,1,0,0,0,0,1,0,40,55,72.7,4,41,1,0,0
Serie A,8/13/2022,Serie A (Matchweek 1),Sampdoria,4-1-4-1,0,1,,4,0,Atalanta,3-4-1-2,2,2.2,Rafael Tolói · 26&rsquor; Ademola Lookman · 90+5&rsquor;,6,0,https://fbref.com/en/matches/185d9e37/Sampdoria-Atalanta-August-13-2022-Serie-A,Sampdoria,Home,Omar Colley,/en/players/8b95acda/Omar-Colley,15,GAM,CB,29-293,90,0,0,0,0,0,0,0,0,45,3,0,0,0,0,0,1,0,34,41,82.9,3,24,0,0,0
Serie A,8/13/2022,Serie A (Matchweek 1),Sampdoria,4-1-4-1,0,1,,4,0,Atalanta,3-4-1-2,2,2.2,Rafael Tolói · 26&rsquor; Ademola Lookman · 90+5&rsquor;,6,0,https://fbref.com/en/matches/185d9e37/Sampdoria-Atalanta-August-13-2022-Serie-A,Sampdoria,Home,Alex Ferrari,/en/players/d0dbca9f/Alex-Ferrari,25,ITA,CB,28-043,89,0,0,0,0,0,0,1,0,41,0,1,2,0,0,0,0,0,26,33,78.8,0,20,1,0,0
