"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player_Href","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Serie A","2018-05-13","Serie A (Matchweek 37)","Atalanta","3-4-1-2",1,1.8,"Rafael Tolói · 64&rsquor; Andrea Masiello · 90+2&rsquor;","7","1","Milan","4-3-3",1,0.2,"Franck Kessié · 60&rsquor; Riccardo Montolivo · 75&rsquor;","6","1","https://fbref.com/en/matches/9f3cb61a/Atalanta-Milan-May-13-2018-Serie-A","Atalanta","Home",NA,963,1,1,0,0,24,5,6,1,590,15,12,8,1.9,1.9,0.9,37,2,390,482,80.9,54,374,25,13,10
"Serie A","2018-05-13","Serie A (Matchweek 37)","Atalanta","3-4-1-2",1,1.8,"Rafael Tolói · 64&rsquor; Andrea Masiello · 90+2&rsquor;","7","1","Milan","4-3-3",1,0.2,"Franck Kessié · 60&rsquor; Riccardo Montolivo · 75&rsquor;","6","1","https://fbref.com/en/matches/9f3cb61a/Atalanta-Milan-May-13-2018-Serie-A","Milan","Away",NA,974,1,0,0,0,5,2,6,1,589,8,12,11,0.2,0.2,0.2,7,0,395,500,79,36,340,18,11,8
"Serie A","2017-10-29","Serie A (Matchweek 11)","SPAL","3-5-2",1,0.3,"Mirco Antenucci · 56&rsquor;","4","0","Genoa","3-5-2",0,1.4,"","3","0","https://fbref.com/en/matches/137886ce/SPAL-Genoa-October-29-2017-Serie-A","SPAL","Home",NA,990,1,1,0,0,8,4,4,0,408,12,10,9,0.3,0.3,0.2,16,2,217,300,72.3,28,177,14,6,1
"Serie A","2017-10-29","Serie A (Matchweek 11)","SPAL","3-5-2",1,0.3,"Mirco Antenucci · 56&rsquor;","4","0","Genoa","3-5-2",0,1.4,"","3","0","https://fbref.com/en/matches/137886ce/SPAL-Genoa-October-29-2017-Serie-A","Genoa","Away",NA,990,0,0,0,0,13,2,3,0,649,11,3,6,1.5,1.5,0.7,24,0,475,574,82.8,50,430,27,10,8
"Serie A","2018-04-04","Serie A (Matchweek 27)","Chievo","4-3-1-2",1,0.4,"Emanuele Giaccherini · 72&rsquor;","4","0","Sassuolo","5-3-2",1,0.7,"Claud Adjapong · 27&rsquor; Francesco Magnanelli · 84&rsquor; Francesco Cassata · 90+5&rsquor;","3","2","https://fbref.com/en/matches/e619682d/Chievo-Sassuolo-April-4-2018-Serie-A","Chievo","Home",NA,990,1,0,0,0,6,2,4,0,674,12,5,12,0.4,0.4,0.3,10,2,463,592,78.2,39,436,24,10,6
"Serie A","2018-04-04","Serie A (Matchweek 27)","Chievo","4-3-1-2",1,0.4,"Emanuele Giaccherini · 72&rsquor;","4","0","Sassuolo","5-3-2",1,0.7,"Claud Adjapong · 27&rsquor; Francesco Magnanelli · 84&rsquor; Francesco Cassata · 90+5&rsquor;","3","2","https://fbref.com/en/matches/e619682d/Chievo-Sassuolo-April-4-2018-Serie-A","Sassuolo","Away",NA,919,1,0,0,0,12,4,2,2,514,12,14,6,0.8,0.8,0.6,23,2,290,413,70.2,27,263,15,18,15
"Serie A","2018-02-25","Serie A (Matchweek 26)","Sampdoria","4-3-1-2",2,1,"Matías Silvestre · 35&rsquor; Duván Zapata · 83&rsquor;","2","0","Udinese","3-1-4-2",1,1.1,"Ali Adnan Kadhim · 90+5&rsquor;","2","0","https://fbref.com/en/matches/440c9141/Sampdoria-Udinese-February-25-2018-Serie-A","Sampdoria","Home",NA,990,2,2,0,0,14,3,2,0,668,14,7,16,1,1,0.9,20,2,460,564,81.6,55,340,11,19,11
"Serie A","2018-02-25","Serie A (Matchweek 26)","Sampdoria","4-3-1-2",2,1,"Matías Silvestre · 35&rsquor; Duván Zapata · 83&rsquor;","2","0","Udinese","3-1-4-2",1,1.1,"Ali Adnan Kadhim · 90+5&rsquor;","2","0","https://fbref.com/en/matches/440c9141/Sampdoria-Udinese-February-25-2018-Serie-A","Udinese","Away",NA,990,0,0,0,0,16,3,2,0,543,23,12,8,1.1,1.1,1.1,29,0,331,442,74.9,29,285,20,13,8
"Serie A","2017-09-20","Serie A (Matchweek 5)","Milan","3-1-4-2",2,2.2,"Ricardo Rodríguez (P) · 26&rsquor; Franck Kessié (P) · 61&rsquor;","1","0","SPAL","3-5-2",0,0.3,"","2","0","https://fbref.com/en/matches/a5a2e924/Milan-SPAL-September-20-2017-Serie-A","Milan","Home",NA,990,2,0,2,2,18,5,1,0,677,17,12,10,2.2,0.7,0.5,38,4,484,572,84.6,59,333,20,4,2
"Serie A","2017-09-20","Serie A (Matchweek 5)","Milan","3-1-4-2",2,2.2,"Ricardo Rodríguez (P) · 26&rsquor; Franck Kessié (P) · 61&rsquor;","1","0","SPAL","3-5-2",0,0.3,"","2","0","https://fbref.com/en/matches/a5a2e924/Milan-SPAL-September-20-2017-Serie-A","SPAL","Away",NA,990,0,0,0,0,6,0,2,0,517,10,14,10,0.3,0.3,0.2,11,0,328,418,78.5,33,271,20,14,9
"Serie A","2018-01-28","Serie A (Matchweek 22)","Roma","4-3-3",0,2.5,"","2","0","Sampdoria","4-3-1-2",1,1.6,"Duván Zapata · 80&rsquor;","2","0","https://fbref.com/en/matches/21ead339/Roma-Sampdoria-January-28-2018-Serie-A","Roma","Home",NA,990,0,0,0,1,18,7,2,0,661,19,13,2,2.9,2.1,1.4,35,0,419,557,75.2,51,369,27,11,8
"Serie A","2018-01-28","Serie A (Matchweek 22)","Roma","4-3-3",0,2.5,"","2","0","Sampdoria","4-3-1-2",1,1.6,"Duván Zapata · 80&rsquor;","2","0","https://fbref.com/en/matches/21ead339/Roma-Sampdoria-January-28-2018-Serie-A","Sampdoria","Away",NA,990,1,1,0,0,15,10,2,0,446,14,11,17,1.6,1.6,1.4,24,2,184,301,61.1,20,162,8,10,6
"Serie A","2018-03-10","Serie A (Matchweek 28)","Hellas Verona","4-2-3-1",1,0.3,"Antonio Caracciolo · 52&rsquor;","4","0","Chievo","4-3-1-2",0,0.7,"","6","0","https://fbref.com/en/matches/1c7ea2c0/Hellas-Verona-Chievo-March-10-2018-Serie-A","Hellas Verona","Home",NA,990,1,1,0,0,7,2,4,0,494,18,8,6,0.3,0.3,0.2,12,2,252,376,67,17,254,16,26,18
"Serie A","2018-03-10","Serie A (Matchweek 28)","Hellas Verona","4-2-3-1",1,0.3,"Antonio Caracciolo · 52&rsquor;","4","0","Chievo","4-3-1-2",0,0.7,"","6","0","https://fbref.com/en/matches/1c7ea2c0/Hellas-Verona-Chievo-March-10-2018-Serie-A","Chievo","Away",NA,990,0,0,0,0,10,2,6,0,639,19,12,9,0.7,0.7,0.6,19,0,401,517,77.6,49,360,16,14,7
"Serie A","2017-12-10","Serie A (Matchweek 16)","Chievo","4-3-1-2",0,0.7,"","1","0","Roma","4-3-3",0,2.5,"","2","0","https://fbref.com/en/matches/ce7187d5/Chievo-Roma-December-10-2017-Serie-A","Chievo","Home",NA,990,0,0,0,0,11,1,1,0,425,15,10,13,0.7,0.7,0.4,15,0,169,297,56.9,20,159,14,8,6
"Serie A","2017-12-10","Serie A (Matchweek 16)","Chievo","4-3-1-2",0,0.7,"","1","0","Roma","4-3-3",0,2.5,"","2","0","https://fbref.com/en/matches/ce7187d5/Chievo-Roma-December-10-2017-Serie-A","Roma","Away",NA,990,0,0,0,0,26,8,2,0,684,5,14,4,2.5,2.5,1.9,45,0,432,564,76.6,64,348,35,20,13
"Serie A","2017-11-19","Serie A (Matchweek 13)","Torino","4-3-3",1,2.9,"Daniele Baselli · 33&rsquor;","1","0","Chievo","4-3-1-2",1,1.3,"Përparim Hetemaj · 14&rsquor; Ivan Radovanović · 88&rsquor;","1","1","https://fbref.com/en/matches/96e4bfc0/Torino-Chievo-November-19-2017-Serie-A","Torino","Home",NA,990,1,1,0,1,18,3,1,0,694,8,10,11,3,2.1,1.9,35,2,484,593,81.6,43,444,26,13,9
"Serie A","2017-11-19","Serie A (Matchweek 13)","Torino","4-3-3",1,2.9,"Daniele Baselli · 33&rsquor;","1","0","Chievo","4-3-1-2",1,1.3,"Përparim Hetemaj · 14&rsquor; Ivan Radovanović · 88&rsquor;","1","1","https://fbref.com/en/matches/96e4bfc0/Torino-Chievo-November-19-2017-Serie-A","Chievo","Away",NA,987,1,0,0,0,12,4,1,1,515,11,15,16,1.3,1.3,0.7,22,1,312,416,75,32,244,10,3,2
"Serie A","2018-03-11","Serie A (Matchweek 28)","Sassuolo","4-3-3",1,2.2,"Khouma Babacar (P) · 31&rsquor;","3","0","SPAL","3-5-2",1,0.5,"Mirco Antenucci · 27&rsquor;","3","0","https://fbref.com/en/matches/d16c7882/Sassuolo-SPAL-March-11-2018-Serie-A","Sassuolo","Home",NA,990,1,0,1,2,12,2,3,0,468,21,14,6,2.4,0.6,0.5,20,1,255,373,68.4,34,228,19,16,9
"Serie A","2018-03-11","Serie A (Matchweek 28)","Sassuolo","4-3-3",1,2.2,"Khouma Babacar (P) · 31&rsquor;","3","0","SPAL","3-5-2",1,0.5,"Mirco Antenucci · 27&rsquor;","3","0","https://fbref.com/en/matches/d16c7882/Sassuolo-SPAL-March-11-2018-Serie-A","SPAL","Away",NA,990,1,1,0,0,5,2,3,0,625,17,13,9,0.5,0.5,0.4,10,2,411,508,80.9,34,318,21,18,8
"Serie A","2018-03-03","Serie A (Matchweek 27)","Lazio","3-5-1-1",0,0.2,"","3","0","Juventus","3-5-2",1,0.8,"Paulo Dybala · 90+3&rsquor;","2","0","https://fbref.com/en/matches/a86e9a29/Lazio-Juventus-March-3-2018-Serie-A","Lazio","Home",NA,990,0,0,0,0,4,2,3,0,539,16,13,10,0.2,0.2,0.1,8,0,333,443,75.2,37,321,20,17,9
"Serie A","2018-03-03","Serie A (Matchweek 27)","Lazio","3-5-1-1",0,0.2,"","3","0","Juventus","3-5-2",1,0.8,"Paulo Dybala · 90+3&rsquor;","2","0","https://fbref.com/en/matches/a86e9a29/Lazio-Juventus-March-3-2018-Serie-A","Juventus","Away",NA,990,1,1,0,0,6,1,2,0,758,16,13,11,0.8,0.8,0.7,11,2,546,648,84.3,41,513,19,17,13
"Serie A","2017-10-25","Serie A (Matchweek 10)","Chievo","4-3-1-2",1,0.5,"Valter Birsa · 61&rsquor;","2","0","Milan","4-3-3",4,1.4,"Suso · 36&rsquor; Boštjan Cesar (OG) · 42&rsquor; Hakan Çalhanoğlu · 55&rsquor; Nikola Kalinić · 64&rsquor;","3","0","https://fbref.com/en/matches/1efd4d56/Chievo-Milan-October-25-2017-Serie-A","Chievo","Home",NA,990,1,0,0,0,9,3,2,0,571,10,8,13,0.5,0.5,0.3,14,0,380,475,80,34,289,11,15,10
"Serie A","2017-10-25","Serie A (Matchweek 10)","Chievo","4-3-1-2",1,0.5,"Valter Birsa · 61&rsquor;","2","0","Milan","4-3-3",4,1.4,"Suso · 36&rsquor; Boštjan Cesar (OG) · 42&rsquor; Hakan Çalhanoğlu · 55&rsquor; Nikola Kalinić · 64&rsquor;","3","0","https://fbref.com/en/matches/1efd4d56/Chievo-Milan-October-25-2017-Serie-A","Milan","Away",NA,989,3,2,0,0,18,4,3,0,739,19,5,14,1.4,1.4,1.3,35,6,550,646,85.1,51,404,19,8,5
"Serie A","2018-02-18","Serie A (Matchweek 25)","Bologna","4-3-3",2,1.3,"Andrea Poli · 12&rsquor; Erick Pulgar · 88&rsquor;","1","0","Sassuolo","4-3-3",1,2.8,"Khouma Babacar · 38&rsquor; Edoardo Goldaniga · 86&rsquor;","5","1","https://fbref.com/en/matches/e783a47b/Bologna-Sassuolo-February-18-2018-Serie-A","Bologna","Home",NA,990,2,0,0,0,10,6,1,0,680,9,5,19,1.3,1.3,0.3,18,4,473,582,81.3,47,467,16,15,14
"Serie A","2018-02-18","Serie A (Matchweek 25)","Bologna","4-3-3",2,1.3,"Andrea Poli · 12&rsquor; Erick Pulgar · 88&rsquor;","1","0","Sassuolo","4-3-3",1,2.8,"Khouma Babacar · 38&rsquor; Edoardo Goldaniga · 86&rsquor;","5","1","https://fbref.com/en/matches/e783a47b/Bologna-Sassuolo-February-18-2018-Serie-A","Sassuolo","Away",NA,985,1,0,0,0,19,6,4,1,532,13,17,8,2.8,2.8,1.5,37,2,314,440,71.4,53,268,28,13,10
"Serie A","2017-12-23","Serie A (Matchweek 18)","Milan","4-3-3",0,1.2,"","2","0","Atalanta","3-4-1-2",2,1.6,"Bryan Cristante · 32&rsquor; Josip Iličić · 71&rsquor;","0","0","https://fbref.com/en/matches/aedac143/Milan-Atalanta-December-23-2017-Serie-A","Milan","Home",NA,990,0,0,0,0,23,5,2,0,676,11,9,15,1.2,1.2,0.8,40,0,462,574,80.5,54,401,16,12,7
