Match_Key,Home_Team,Home_Possession,Home_Fouls,Home_Corners,Home_Crosses,Home_Aerials_Won,Home_Clearances,Home_Offsides,Home_Goal_Kicks,Home_Throw_Ins,Home_Long_Balls,Home_Gls,Home_Ast,Home_PK,Home_PK_Att,Home_Sh,Home_SoT,Home_CrdY,Home_CrdR,Home_Touches,Home_Tkl,Home_Int,Home_Blocks,Home_xG,Home_npxG,Home_xAG,Home_SCA,Home_GCA,Home_Cmp_Passes,Home_Att_Passes,Home_Cmp_percent_Passes,Home_PrgP_Passes,Home_Carries_Carries,Home_PrgC_Carries,Home_Att_Take_Ons,Home_Succ_Take_Ons,Away_Team,Away_Possession,Away_Fouls,Away_Corners,Away_Crosses,Away_Aerials_Won,Away_Clearances,Away_Offsides,Away_Goal_Kicks,Away_Throw_Ins,Away_Long_Balls,Away_Gls,Away_Ast,Away_PK,Away_PK_Att,Away_Sh,Away_SoT,Away_CrdY,Away_CrdR,Away_Touches,Away_Tkl,Away_Int,Away_Blocks,Away_xG,Away_npxG,Away_xAG,Away_SCA,Away_GCA,Away_Cmp_Passes,Away_Att_Passes,Away_Cmp_percent_Passes,Away_PrgP_Passes,Away_Carries_Carries,Away_PrgC_Carries,Away_Att_Take_Ons,Away_Succ_Take_Ons,Home_Attack,Home_Midfield,Home_Defense,Away_Attack,Away_Midfield,Away_Defense,Home_Score,Away_Score,Match_Date
2508,26,49,14,5,23,9,9,2,7,20,68,1.0,0.0,0.0,0.0,15.0,5.0,1.0,0.0,523.0,11.0,11.0,10.0,1.6,1.6,0.4,21.0,1.0,360.0,446.0,80.7,41.0,379.0,27.0,17.0,8.0,20,51,17,1,6,8,24,1,11,19,49,2,1,0,0,14,5,3,0,561,22,7,12,1.8,1.8,1.1,24,3,378,457,82.7,38,399,12,6,2,0.0,0.0,0.0,0.0,0.0,0.0,1,2,20240428
7800,86,58,14,3,28,23,11,0,6,28,76,0.0,0.0,0.0,0.0,10.0,2.0,3.0,0.0,632.0,21.0,11.0,14.0,0.4,0.4,0.3,20.0,0.0,394.0,526.0,74.9,37.0,390.0,14.0,15.0,5.0,83,42,21,1,7,30,34,2,10,28,98,1,1,0,0,9,2,2,0,521,25,11,7,0.9,0.9,0.8,17,2,262,386,67.9,31,173,6,16,4,0.0,0.0,0.0,0.0,0.0,0.0,1,1,20240428
7803,76,51,9,4,14,18,19,2,6,13,48,1.0,0.0,1.0,1.0,14.0,3.0,3.0,0.0,535.0,18.0,4.0,6.0,1.9,1.2,1.0,27.0,1.0,350.0,431.0,81.2,25.0,313.0,20.0,21.0,9.0,64,49,20,6,14,17,17,2,7,17,66,1,1,0,0,10,1,5,0,521,22,8,6,1.7,1.7,0.3,15,2,337,420,80.2,21,302,14,20,7,0.0,0.0,0.0,0.0,0.0,0.0,1,1,20240428
2512,3,47,15,3,14,13,26,5,5,16,68,3.0,3.0,0.0,0.0,15.0,4.0,1.0,0.0,586.0,19.0,11.0,11.0,2.3,2.3,2.2,28.0,6.0,358.0,466.0,76.8,42.0,399.0,24.0,14.0,7.0,1,53,14,3,24,15,16,3,12,17,59,2,2,0,0,13,5,3,0,640,18,14,16,2.0,2.0,1.3,25,3,411,527,78.0,56,437,24,17,6,0.0,0.0,0.0,0.0,0.0,0.0,3,2,20240428
12626,119,59,19,8,15,26,16,1,7,33,70,2.0,1.0,1.0,1.0,16.0,4.0,1.0,0.0,640.0,12.0,5.0,12.0,1.9,1.1,1.0,30.0,4.0,404.0,515.0,78.4,39.0,331.0,15.0,27.0,10.0,137,41,14,1,17,15,24,1,8,24,80,0,0,0,0,11,2,2,0,500,30,6,17,0.4,0.4,0.4,19,0,251,360,69.7,19,161,11,17,9,78.0,76.84210526315789,73.93333333333334,72.0,71.47058823529412,69.9090909090909,2,0,20240428
9986,91,39,17,6,24,16,25,1,10,20,87,1.0,0.0,0.0,0.0,16.0,4.0,4.0,1.0,445.0,24.0,11.0,18.0,1.6,1.6,1.1,25.0,1.0,183.0,300.0,61.0,33.0,160.0,13.0,31.0,9.0,106,61,13,6,22,27,25,1,6,31,77,1,0,1,2,15,5,4,0,594,21,2,11,2.6,1.0,0.8,28,2,350,473,74.0,38,243,17,18,5,0.0,0.0,0.0,0.0,0.0,0.0,1,1,20240428
12624,121,62,6,5,14,11,13,2,3,12,32,2.0,1.0,1.0,1.0,16.0,4.0,0.0,0.0,790.0,11.0,8.0,11.0,1.7,0.9,0.7,32.0,4.0,636.0,709.0,89.7,39.0,585.0,18.0,9.0,8.0,136,38,8,4,17,6,17,0,11,9,52,0,0,0,0,11,3,0,1,505,11,13,8,0.5,0.5,0.5,22,0,361,427,84.5,21,293,13,9,7,81.6,79.26315789473684,80.58333333333333,73.63636363636364,74.46666666666667,74.18181818181819,2,0,20240428
12625,122,65,11,10,22,9,13,1,6,18,58,1.0,0.0,0.0,0.0,15.0,4.0,3.0,1.0,750.0,18.0,1.0,10.0,0.8,0.8,0.5,29.0,2.0,567.0,644.0,88.0,49.0,465.0,15.0,24.0,11.0,120,35,21,3,10,15,23,1,9,16,50,1,0,0,0,11,4,7,0,481,27,8,16,0.8,0.8,0.4,17,1,292,354,82.5,29,270,12,26,11,75.14285714285714,71.68181818181819,71.5,73.6,73.33333333333333,70.1875,1,1,20240428
2513,10,44,8,3,12,17,19,3,12,17,57,2.0,2.0,0.0,0.0,13.0,6.0,2.0,0.0,473.0,14.0,6.0,9.0,1.7,1.7,1.4,23.0,4.0,297.0,382.0,77.7,21.0,332.0,15.0,10.0,4.0,24,56,12,11,29,11,11,1,5,16,54,1,1,0,0,18,5,2,0,587,13,5,9,1.2,1.2,0.8,33,2,408,495,82.4,40,437,15,18,7,0.0,0.0,0.0,0.0,0.0,0.0,2,1,20240428
4784,56,34,8,4,18,6,8,2,5,16,59,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,492.0,21.0,10.0,15.0,1.9,1.9,1.3,26.0,0.0,308.0,390.0,79.0,26.0,268.0,21.0,16.0,8.0,48,66,6,5,10,8,11,1,9,16,38,2,2,0,0,11,5,0,0,856,20,6,10,0.9,0.9,0.8,20,4,682,763,89.4,55,416,19,15,4,0.0,0.0,0.0,0.0,0.0,0.0,0,2,20240428
4782,44,62,12,8,34,9,12,3,3,15,36,2.0,0.0,1.0,1.0,14.0,1.0,2.0,0.0,726.0,24.0,8.0,13.0,2.4,1.6,1.2,24.0,2.0,525.0,618.0,85.0,61.0,513.0,24.0,22.0,11.0,39,38,16,6,15,13,26,4,9,6,55,2,2,0,0,9,3,1,0,499,24,13,10,1.0,1.0,1.0,18,4,292,374,78.1,32,206,9,23,9,0.0,0.0,0.0,0.0,0.0,0.0,2,3,20240428
7801,84,38,17,0,8,18,19,5,7,22,67,3.0,2.0,0.0,0.0,12.0,4.0,4.0,0.0,494.0,15.0,9.0,12.0,2.6,2.6,2.4,21.0,5.0,281.0,383.0,73.4,35.0,267.0,18.0,13.0,6.0,85,62,5,6,24,19,7,0,9,16,88,0,0,0,0,11,2,0,0,713,15,3,15,0.8,0.8,0.4,17,0,497,615,80.8,37,409,21,23,10,0.0,0.0,0.0,0.0,0.0,0.0,3,0,20240428
2509,19,48,11,2,17,14,9,0,4,21,72,1.0,0.0,0.0,0.0,13.0,5.0,2.0,0.0,601.0,18.0,7.0,7.0,0.6,0.6,0.3,25.0,1.0,441.0,520.0,84.8,31.0,472.0,15.0,24.0,7.0,14,52,14,3,11,6,12,1,9,14,53,3,2,1,1,7,3,3,0,650,18,6,5,1.6,0.8,0.7,15,5,497,571,87.0,28,524,13,16,11,0.0,0.0,0.0,0.0,0.0,0.0,1,3,20240428
4783,33,31,14,8,21,14,23,1,13,17,67,3.0,3.0,0.0,0.0,15.0,6.0,2.0,0.0,417.0,9.0,14.0,14.0,2.1,2.1,1.9,27.0,5.0,202.0,292.0,69.2,22.0,192.0,15.0,27.0,7.0,40,69,10,2,25,10,19,1,4,21,43,0,0,0,0,13,1,2,0,760,25,5,11,0.9,0.9,0.7,25,0,564,650,86.8,43,519,29,18,9,0.0,0.0,0.0,0.0,0.0,0.0,3,0,20240428
7802,78,46,15,3,13,5,15,2,12,13,60,3.0,3.0,0.0,0.0,15.0,7.0,2.0,0.0,543.0,20.0,5.0,13.0,1.4,1.4,1.2,27.0,6.0,371.0,445.0,83.4,36.0,284.0,25.0,19.0,12.0,80,54,8,6,19,3,12,3,8,17,56,0,0,0,0,20,4,1,0,639,16,7,13,1.0,1.0,0.4,34,0,450,533,84.4,34,389,17,16,4,0.0,0.0,0.0,0.0,0.0,0.0,3,0,20240428
