League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Game_URL,Team,Home_Away,Player,Player_Href,Player_Num,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG_Expected,npxG_Expected,xAG_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp_percent_Passes,PrgP_Passes,Carries_Carries,PrgC_Carries,Att_Take_Ons,Succ_Take_Ons
Fußball-Bundesliga,8/18/2017,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4/3/2003,3,2.6,Niklas Süle · 9&rsquor; Corentin Tolisso · 19&rsquor; Robert Lewandowski (P) · 53&rsquor;,1,0,Bayer Leverkusen,4-2-3-1,1,1.6,Admir Mehmedi · 65&rsquor;,2,0,https://fbref.com/en/matches/b13970b2/Bayern-Munich-Bayer-Leverkusen-August-18-2017-Bundesliga,Bayern Munich,Home,Robert Lewandowski,/en/players/8d78e732/Robert-Lewandowski,9,POL,FW,28-362,90,1,0,1,1,2,0,0,0,33,0,0,0,1.2,0.4,0.3,2,1,20,25,80,4,21,5,0,0
Fußball-Bundesliga,8/18/2017,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4/3/2003,3,2.6,Niklas Süle · 9&rsquor; Corentin Tolisso · 19&rsquor; Robert Lewandowski (P) · 53&rsquor;,1,0,Bayer Leverkusen,4-2-3-1,1,1.6,Admir Mehmedi · 65&rsquor;,2,0,https://fbref.com/en/matches/b13970b2/Bayern-Munich-Bayer-Leverkusen-August-18-2017-Bundesliga,Bayern Munich,Home,Franck Ribéry,/en/players/f61c7c4e/Franck-Ribery,7,FRA,LW,34-133,76,0,0,0,0,0,0,0,0,43,1,1,1,0,0,0.5,5,1,33,35,94.3,9,36,4,3,1
Fußball-Bundesliga,8/18/2017,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4/3/2003,3,2.6,Niklas Süle · 9&rsquor; Corentin Tolisso · 19&rsquor; Robert Lewandowski (P) · 53&rsquor;,1,0,Bayer Leverkusen,4-2-3-1,1,1.6,Admir Mehmedi · 65&rsquor;,2,0,https://fbref.com/en/matches/b13970b2/Bayern-Munich-Bayer-Leverkusen-August-18-2017-Bundesliga,Bayern Munich,Home,Kingsley Coman,/en/players/042e8a49/Kingsley-Coman,29,FRA,LW,21-066,14,0,0,0,0,1,0,0,0,11,1,0,0,0,0,0,0,0,7,8,87.5,3,9,3,1,1
Fußball-Bundesliga,8/18/2017,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4/3/2003,3,2.6,Niklas Süle · 9&rsquor; Corentin Tolisso · 19&rsquor; Robert Lewandowski (P) · 53&rsquor;,1,0,Bayer Leverkusen,4-2-3-1,1,1.6,Admir Mehmedi · 65&rsquor;,2,0,https://fbref.com/en/matches/b13970b2/Bayern-Munich-Bayer-Leverkusen-August-18-2017-Bundesliga,Bayern Munich,Home,Thomas Müller,/en/players/3c6089ab/Thomas-Muller,25,GER,RW,27-339,60,0,0,0,0,1,1,0,0,22,0,0,2,0.5,0.5,0.1,2,0,12,17,70.6,1,11,0,1,0
Fußball-Bundesliga,8/18/2017,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4/3/2003,3,2.6,Niklas Süle · 9&rsquor; Corentin Tolisso · 19&rsquor; Robert Lewandowski (P) · 53&rsquor;,1,0,Bayer Leverkusen,4-2-3-1,1,1.6,Admir Mehmedi · 65&rsquor;,2,0,https://fbref.com/en/matches/b13970b2/Bayern-Munich-Bayer-Leverkusen-August-18-2017-Bundesliga,Bayern Munich,Home,Arjen Robben,/en/players/09586899/Arjen-Robben,10,NED,RW,33-207,30,0,0,0,0,1,1,0,0,20,0,0,1,0.3,0.3,0.3,2,0,12,16,75,2,14,4,5,3
Fußball-Bundesliga,8/18/2017,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4/3/2003,3,2.6,Niklas Süle · 9&rsquor; Corentin Tolisso · 19&rsquor; Robert Lewandowski (P) · 53&rsquor;,1,0,Bayer Leverkusen,4-2-3-1,1,1.6,Admir Mehmedi · 65&rsquor;,2,0,https://fbref.com/en/matches/b13970b2/Bayern-Munich-Bayer-Leverkusen-August-18-2017-Bundesliga,Bayern Munich,Home,Arturo Vidal,/en/players/67cdbc0e/Arturo-Vidal,23,CHI,LM,30-088,90,0,1,0,0,1,0,1,0,70,9,3,1,0,0,0.3,1,1,48,59,81.4,7,35,0,2,2
Fußball-Bundesliga,8/18/2017,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4/3/2003,3,2.6,Niklas Süle · 9&rsquor; Corentin Tolisso · 19&rsquor; Robert Lewandowski (P) · 53&rsquor;,1,0,Bayer Leverkusen,4-2-3-1,1,1.6,Admir Mehmedi · 65&rsquor;,2,0,https://fbref.com/en/matches/b13970b2/Bayern-Munich-Bayer-Leverkusen-August-18-2017-Bundesliga,Bayern Munich,Home,Sebastian Rudy,/en/players/80f36c88/Sebastian-Rudy,19,GER,CM,27-171,90,0,1,0,0,0,0,0,0,55,3,1,1,0,0,0.2,3,1,43,48,89.6,5,29,0,0,0
Fußball-Bundesliga,8/18/2017,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4/3/2003,3,2.6,Niklas Süle · 9&rsquor; Corentin Tolisso · 19&rsquor; Robert Lewandowski (P) · 53&rsquor;,1,0,Bayer Leverkusen,4-2-3-1,1,1.6,Admir Mehmedi · 65&rsquor;,2,0,https://fbref.com/en/matches/b13970b2/Bayern-Munich-Bayer-Leverkusen-August-18-2017-Bundesliga,Bayern Munich,Home,Corentin Tolisso,/en/players/652d4c37/Corentin-Tolisso,24,FRA,RM,23-015,90,1,0,0,0,4,3,0,0,74,2,2,2,0.4,0.4,0,3,0,49,63,77.8,12,44,1,0,0
Fußball-Bundesliga,8/18/2017,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4/3/2003,3,2.6,Niklas Süle · 9&rsquor; Corentin Tolisso · 19&rsquor; Robert Lewandowski (P) · 53&rsquor;,1,0,Bayer Leverkusen,4-2-3-1,1,1.6,Admir Mehmedi · 65&rsquor;,2,0,https://fbref.com/en/matches/b13970b2/Bayern-Munich-Bayer-Leverkusen-August-18-2017-Bundesliga,Bayern Munich,Home,David Alaba,/en/players/05439de2/David-Alaba,27,AUT,LB,25-055,90,0,0,0,0,0,0,0,0,71,1,1,2,0,0,0,2,1,55,64,85.9,4,31,1,1,1
Fußball-Bundesliga,8/18/2017,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4/3/2003,3,2.6,Niklas Süle · 9&rsquor; Corentin Tolisso · 19&rsquor; Robert Lewandowski (P) · 53&rsquor;,1,0,Bayer Leverkusen,4-2-3-1,1,1.6,Admir Mehmedi · 65&rsquor;,2,0,https://fbref.com/en/matches/b13970b2/Bayern-Munich-Bayer-Leverkusen-August-18-2017-Bundesliga,Bayern Munich,Home,Mats Hummels,/en/players/05d548d8/Mats-Hummels,5,GER,CB,28-245,61,0,0,0,0,1,1,0,0,52,1,0,1,0.1,0.1,0,2,0,44,50,88,6,30,0,0,0
